loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
1,11 Com,11 Com b,1,326.03000000,0.231000,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4742.00,2.70,19.00,,,2007,0,2.243
2,11 UMi,11 UMi b,1,516.21997000,0.080000,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,4213.00,2.78,29.79,,,2009,0,
3,14 And,14 And b,1,185.84000000,0.000000,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,4813.00,2.20,11.00,,,2008,0,1.763
4,14 Her,14 Her b,1,1773.40002000,0.370000,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,5338.00,0.90,0.93,,,2002,0,
5,16 Cyg B,16 Cyg B b,1,798.50000000,0.680000,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,5750.00,1.08,1.13,,,1996,0,
6,18 Del,18 Del b,1,993.30000000,0.080000,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,4979.00,2.30,8.50,,,2008,0,1.602
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,4060.00,0.85,,3000.00000,,2008,0,-0.370
8,24 Boo,24 Boo b,1,30.35060000,0.042000,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,4893.00,0.99,10.64,,,2018,0,1.774
9,24 Sex,24 Sex b,2,452.80000000,0.090000,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,5098.00,1.54,4.90,,,2010,0,1.164
10,24 Sex,24 Sex c,2,883.00000000,0.290000,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,5098.00,1.54,4.90,,,2010,0,1.164
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,3530.00,0.40,,7786.50000,,2013,0,-1.720
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,,,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,3064.00,0.11,0.28,4417.83700,16.141,2015,0,-2.230
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,0.02,,2383.60000,,2010,0,
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,,0.02,,1271.00000,,2004,0,
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,416.00000000,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,,0.48,,603.87700,,2015,0,
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,7336.50000000,0.260000,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,2300.00,0.08,0.12,6657.48000,10.310,2009,0,-3.480
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,4045.00,0.60,,3972.87500,,2016,0,
18,30 Ari B,30 Ari B b,1,335.10001000,0.290000,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,6331.00,1.93,1.41,,,2009,0,
19,4 UMa,4 UMa b,1,269.30000000,0.432000,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,4415.00,1.23,18.11,,,2006,0,
20,42 Dra,42 Dra b,1,479.10000000,0.380000,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,4200.00,0.98,22.03,,,2008,0,
21,47 UMa,47 UMa b,3,1078.00000000,0.032000,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23,,,1996,0,
22,47 UMa,47 UMa c,3,2391.00000000,0.098000,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23,,,2001,0,
23,47 UMa,47 UMa d,3,14002.00000000,0.160000,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23,,,2009,0,
24,51 Eri,51 Eri b,1,11688.00000000,0.450000,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,,1.75,,,,2015,0,0.850
25,51 Peg,51 Peg b,1,4.23078500,0.013000,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,5793.00,1.12,1.20,,,1995,0,
26,55 Cnc,55 Cnc b,5,14.65152000,0.003400,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94,263.97850,,1996,0,-0.235
27,55 Cnc,55 Cnc c,5,44.41750000,0.020000,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94,54.47380,,2004,0,-0.235
28,55 Cnc,55 Cnc d,5,4825.00000000,0.019000,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94,1232.49300,,2002,0,-0.235
29,55 Cnc,55 Cnc e,5,0.73653900,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94,8.08000,1.910,2004,0,-0.235
30,55 Cnc,55 Cnc f,5,262.00000000,0.305000,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94,44.81200,,2007,0,-0.235
31,6 Lyn,6 Lyn b,1,934.30000000,0.073000,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,4938.00,1.44,5.20,,,2008,0,
32,61 Vir,61 Vir b,3,4.21500000,0.120000,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577.00,0.94,0.96,,,2009,0,-0.095
